state,specialty,ndb_spec,credentialing_required
TN,Family Planning Clinic,,No
TN,Community Based Hospice,,Yes
TN,Community/Public Health Clinic,,No
TN,Convenience Care Clinic,,No
TN,Diabetes Education Center,,Yes
TN,Diagnostic/Treatment Center - Both Lab & Radiology Services,,No
TN,Diagnostic/Treatment Center - LAB BASED SERVICES ONLY,,No
TN,Diagnostic/Treatment Center - RADIOLOGY ONLY,,No
TN,Dialysis Center,,Yes
TN,Durable Medical Equipment (Medical Supply Company),,No
TN,Durable Medical Equipment Orthotics/Prosthetics,,No
TN,Environmental Adaptation Company (HCBS),,No
TN,Family Planning Clinic,,No
TN,Federally Qualified Health Center (FQHC),,Yes
TN,Freestanding Emergency Dept,,No
TN,Habilitation Agency (HCBS),,No
TN,Hemophiliac Treatment Center- PHARMACY ONLY,,No
TN,Home Delivered Meals Agency (HCBS),,No
TN,Home Health Care Agency/PACE Provider Agency,,Yes
TN,Home Health/Home Infusion (Combined),,Yes
TN,Homemaker Agency (HCBS),,No
TN,Hyperbaric Oxygen Chamber,,No
TN,Infertility Center,,No
TN,Infirmary,,No
TN,Infusion Therapy - Home & Clinic,,No
TN,Laboratory Center (Independent or Commercial),,Yes
TN,Lithotripsy Centers,,No
TN,Magnetic Resonance Imaging Center/Clinic,,No
TN,MHSA Rehabilitation Facility,,No (Yes for AZ Only)
TN,Non -Emergent Transportation,,No
TN,Personal Care,,No
TN,Pediatric Medical Day Care (HCBS),,No
TN,Pharmacy,,No
TN,Portable Diag Img Supplier,,Yes
TN,Radiation Oncology Center,,No
TN,Rehabilitation Clinic,,Yes (CORFs only - Comprehensive Outpatient Rehab Facilty)
TN,Rural Health Clinic (RHC),,Yes
TN,Sleep Study Center,,No
TN,Surgery Suite/Center,,No
TN,Transition Service Agency (HCBS),,No
TN,Urgent Care Center/Clinic,,No (Yes for AZ Only)
TN,Veteran's Administration Medical Clinic (VAMC),,No
TN,Wellness Service Provider,,No
TN,X-Ray/Radiology Center,,No
TN,Abdominal Surgery,270,Yes (as Surgery)
TN,Addiction Medicine,347,No2
TN,Addiction Psychiatry,301,No2
TN,Adolescent Medicine,276,Yes
TN,Allergy,252,Yes (as Allergy and Immunology)
TN,Allergy and Immunology,3,Yes
TN,Anatomic & Clinical Pathology,203,No1 (Except MO)
TN,Anatomic Pathology,202,No1 (Except MO)
TN,Anesthesiology,5,No1 (Except MO)
TN,Back & Spine Surgery,348,Yes (as Neurological Surgery or Orthopaedic Surgery)
TN,Blood Banking/Transfusion Medicine,334,No
TN,Bone Marrow Transplant,366,Yes
TN,Breast Reconstruction,359,Yes (as Plastic Surgery or Reconstructive Surgery)
TN,Breast Surgery,358,Yes (as Plastic Surgery or Surgery)
TN,Cardiac Diagnostic,513,Yes (as Cardiovascular Disease)
TN,Cardiology,12,Yes (as Cardiovascular Disease)
TN,Cardiovascular Disease,6,Yes
TN,Cardiovascular Surgery,500,Yes
TN,Chemical Pathology,207,No1 (Except MO)
TN,Chest and Respiratory Therapy,75,Yes
TN,Child & Adolescent Psychiatry,257,No2
TN,Child Neurology,208,Yes
TN,Child Psychology,268,No2
TN,Clinical Biochemical Genetics,305,Yes
TN,Clinical Biochemical/Molecular Genetics,306,Yes (as Clinical Biochemical or Clinical Molecular Genetics)
TN,Clinical Cardiac Electrophysiology,304,Yes
TN,Clinical Cytogenetics,307,Yes
TN,Clinical Genetics,308,Yes
TN,Clinical Molecular Genetics,370,Yes
TN,Clinical Neurophysiology,310,Yes
TN,Clinical Pathology,210,No1 (Except MO)
TN,Clinical Pharmacology,211,No
TN,Colon and Rectal Surgery,15,Yes
TN,Counselor - MH/SA/School,377,No2
TN,Crisis Diversion,378,No2
TN,Critical Care Medicine,214,Yes
TN,Cytopathology,312,No1 (Except MO)
TN,Dermatology,7,Yes
TN,Dermatopathology,218,Yes
TN,Diabetes,278,"Yes (as Endocrinology, Diabetes and Metabolism)"
TN,Diag Rad with Special Competence in Nuclear Rad,345,Yes (as Diagnostic Radiology)
TN,Diagnostic Lab Immunology,107,Yes (as Clinical and Laboratory Immunology or Immunology)
TN,Diagnostic Radiology,220,No1 (Except MO)
TN,Digestive Diseases,509,Yes (as Gastroenterology)
TN,Early Intervention,122,Yes (as Preventative Medicine)
TN,Emergency Medicine,42,No1 (Except MO)
TN,"Endocrinology, Diabetes and Metabolism",17,Yes
TN,Family Planning,123,"Yes (as FP, GP, IM, OBGYN, NP, or PA)"
TN,Family Practice,8,Yes
TN,Family Practice Specialist,275,Yes (as Family Practice)
TN,Forensic Pathology,223,No1 (Except MO)
TN,Forensic Psychiatry,346,No2
TN,Gastroenterology,10,Yes
TN,General Practice,1,Yes
TN,General Practice Specialist,272,Yes (as General Practice)
TN,General Vascular Surgery,95,Yes
TN,Geriatric Medicine,38,Yes
TN,Geriatric Psychiatry,314,No2
TN,Gynecologic Oncology,221,Yes
TN,Gynecology,251,Yes (as Obstetrics And Gynecology)
TN,Hand Surgery,40,Yes
TN,Head & Neck Surgery,271,Yes (as Plastic Surgery - Head and Neck)
TN,Headache Treatment,356,Yes (as Neurology or Headache Medicine)
TN,Hematology,93,Yes
TN,Hematology/Oncology,504,Yes
TN,Hepatology - Liver Disease,365,Yes (as Hepatology or Transplant Hepatology)
TN,High-Risk Pregnancy,353,Yes (as Obstetrics And Gynecology or Perinatology)
TN,HIV-AIDS,360,Yes (as Internal Medicine or Infectious Disease)
TN,Hospice & Palliative Medicine,19,Yes
TN,Hospitalist,340,No1 (Except MO)
TN,Hyperbaric Medicine/Wound Care,373,Yes (as Undersea and Hyperbaric Medicine)
TN,Immunology,283,Yes (as Allergy and Immunology)
TN,Immunopathology,225,No1 (Except MO)
TN,Independent Medical Examiner,97,No
TN,Infectious Disease Medicine,80,Yes
TN,Infertility Medicine,352,Yes (as Obstetrics and Gynecology or Reproductive Endocrinology/Infertility)
TN,Internal Medicine,11,Yes
TN,Internal Medicine Pediatrics,,Yes (as Internal Medicine and Pediatrics)
TN,Internal Medicine Specialist,273,Yes (as Internal Medicine)
TN,Interventional Cardiology,342,Yes
TN,Interventional Radiology,124,Yes
TN,Knee Surgery,349,Yes (as Orthopaedic Surgery or Surgery)
TN,Laryngology,284,Yes (as Otolaryngology)
TN,Legal Medicine,285,No
TN,Licensed Professional Counselor,381,No2
TN,Marriage & Family Therapy,318,No2
TN,Medical Genetics,309,Yes
TN,Medical Microbiology,227,No
TN,Medical Oncology,59,Yes
TN,Medical Toxicology,333,No
TN,MOHS Surgery,357,Yes
TN,Molecular Genetic Pathology,371,No1 (Except MO)
TN,Movement Disorders,249,Yes (as Neurology or Neuromuscular Disease)
TN,MRI/Magnetic Resonance,511,No1 (Except MO)
TN,Neonatology,87,No1 (Except MO)
TN,Neoplastics Diseases,502,Yes (as Hematology or Oncology)
TN,Nephrology,39,Yes
TN,Neurodevelopmental Disabilities,343,Yes
TN,Neurological Surgery,14,Yes
TN,Neurology,13,Yes
TN,Neurology & Psychiatry,228,No2
TN,Neuromuscular Disease,269,Yes
TN,Neuropathology,229,No1 (Except MO)
TN,Neuroradiology,332,No1 (Except MO)
TN,Nuclear Cardiology,16,Yes
TN,Nuclear Medicine,36,No1 (Except MO)
TN,Nuclear Radiology,286,No1 (Except MO)
TN,Obstetrics,250,Yes (as Obstetrics And Gynecology)
TN,Obstetrics And Gynecology,230,Yes
TN,Occupational Medicine,231,Yes
TN,Ophthalmic Plastic Surgery,364,Yes (as Ophthalmology)
TN,Ophthalmology,18,Yes
TN,Ophthalmology Cornea Surgery,355,Yes
TN,Ophthalmology Retina Surgery,354,Yes
TN,Oral and Maxillofacial Surgery,92,Yes
TN,Oral Pathology,232,Yes
TN,Orofacial Plastic Surgery,233,Yes
TN,Orthopedic Surgery,20,Yes
TN,Osteopathic Manipulative Medicine,330,Yes
TN,Otolaryngology (ENT),4,Yes
TN,Otology,254,Yes (as Otolaryngology)
TN,Pain Management,319,Yes
TN,Pastoral Counselor,388,No
TN,Pathology,22,No1 (Except MO)
TN,Pediatric Allergy Immunology,86,Yes
TN,Pediatric Anesthesiology,116,No1 (Except MO)
TN,Pediatric Behavioral,363,No2
TN,Pediatric Cardiology,85,Yes
TN,Pediatric Cardiothoracic Surgery,505,Yes (as Pediatric Surgery)
TN,Pediatric Child Abuse,258,Yes
TN,Pediatric Critical Care Medicine,234,Yes
TN,Pediatric Dermatology,117,Yes
TN,Pediatric Developmental & Behavioral,255,Yes
TN,Pediatric Emergency Medicine,321,Yes
TN,Pediatric Endocrinology,82,Yes
TN,Pediatric Gastroenterology,259,Yes
TN,Pediatric Genetics,260,Yes
TN,Pediatric Hematology Oncology,88,Yes
TN,Pediatric Infectious Disease Medicine,78,Yes
TN,Pediatric Nephrology,31,Yes
TN,Pediatric Neurology,262,Yes
TN,Pediatric Neurosurgery,81,Yes (as Neurological Surgery)
TN,Pediatric Ophthalmology,263,Yes
TN,Pediatric Orthopedic Surgery,264,Yes
TN,Pediatric Otolaryngology (ENT),265,Yes
TN,Pediatric Pathology,322,No1 (Except MO)
TN,Pediatric Plastic Surgery,266,Yes (as Plastic Surgery)
TN,Pediatric Pulmonary Medicine,96,Yes
TN,Pediatric Radiology,288,No1 (Except MO)
TN,Pediatric Rehabilitation Medicine,341,Yes
TN,Pediatric Rheumatology,261,Yes
TN,Pediatric Specialist,274,Yes (as Pediatrics)
TN,Pediatric Speech Pathologist,115,No2
TN,Pediatric Sports Medicine,323,Yes
TN,Pediatric Surgery,114,Yes
TN,Pediatric Urology,267,Yes
TN,Pediatrics,37,Yes
TN,Perinatology (Maternal & Fetal Medicine),226,Yes
TN,Phlebology,396,Yes
TN,Physical Medicine and Rehabilitation / Physiatry,25,Yes
TN,Physician Nutrition Specialist,103,Yes
TN,Plastic Surgery,24,Yes
TN,Plastic Surgery within the Head & Neck,337,Yes
TN,Preventative Medicine Aerospace,41,Yes
TN,Preventive Medicine,281,Yes
TN,Proctology,28,Yes
TN,Psychiatric Nurse Specialist/Practitioner,329,No2
TN,Psychiatric Social Work,9,No2
TN,Psychiatry,26,No2
TN,"Psychology, Clinical (Doctorate Level)",70,No2
TN,Psychosomatic Medicine,291,No2
TN,Public Health,238,Yes
TN,Public Health & General Preventive Medicine,236,Yes
TN,Pulmonary Medicine,29,Yes
TN,Radiation Oncology,32,Yes
TN,Radioisotopic Pathology,240,No1 (Except MO)
TN,Radioisotopic Radiology,503,Yes (as Nuclear Medicine or Nuclear Radiology)
TN,Radiological Physics,324,Yes (as Radiation Oncology)
TN,Radiology,30,No1 (Except MO)
TN,Rehabilitative Medicine,253,Yes
TN,Reproductive Endocrinology,241,Yes
TN,Rheumatology,90,Yes
TN,Rhinology,292,Yes (as Otolaryngology)
TN,Shoulder Surgery,350,Yes (as Orthopaedic Surgery or Surgery)
TN,Sleep Study Medicine,361,Yes
TN,"Social Worker, Licensed Clinical/Medical",63,No2
TN,Spinal Cord Injury Medicine,344,Yes
TN,Sports Medicine,296,Yes
TN,Surgery,2,Yes
TN,Surgical Critical Care,242,Yes
TN,Surgical Oncologist,508,Yes
TN,Therapeutic Radiology,239,Yes (as Radiation Oncology or Interventional Radiology)
TN,Thoracic Cardiovascular Surgery,33,Yes
TN,Thoracic Surgery,101,Yes
TN,Traumatic Surgery,293,Yes
TN,Undersea and Hyperbaric Medicine,327,Yes
TN,Undersea Medicine,372,Yes
TN,Urgent Care Medicine,328,No1 (Except MO)
TN,Urology,34,Yes
TN,Vascular Intervention Radiology,335,No1 (Except MO)
TX,Acupuncture,201,No2
TX,Addiction Medicine Specialist,331,No2
TX,Advanced Practice Registered Psychiatric Nurse Practitioner,374,No2
TX,Advanced Registered Nurse Practitioner,375,Yes (as Nurse Practitioner)
TX,Athletic Trainer,121,No
TX,Audiology,205,Yes
TX,Behavioral Analyst,300,No2
TX,Certified Diabetic Educator,27,Yes
TX,Certified Nurse Midwife,69,Yes
TX,Certified Registered Nurse Anesthetist,68,No1 (Except MO)
TX,Child Psychology,268,No2
TX,Chiropractic Medicine,35,No2
TX,Christian Science Practitioner,376,No
TX,Counselor - MH/SA/School,377,No2
TX,Dentist,50,No2
TX,"Dentist, Oral Surgeon",92,Yes
TX,Employee Assistance Program (EAP) Counselor,379,No
TX,Empowerment Coach,118,No
TX,Endodontics,51,No2
TX,Family Nurse Practitioner,339,Yes (as Nurse Practitioner)
TX,Genetic Counselor,320,No
TX,Hearing Instrument Specialist,298,No
TX,Home Health  / Private Duty Nurse,243,No
TX,Home Health Aide,67,No
TX,Homemaker,21,No
TX,Homeopathic Medicine,282,No
TX,Lactation Specialist,380,No
TX,Licensed Professional Counselor,381,No2
TX,Licensed Vocational Nurse,382,No
TX,Marriage & Family Therapy,318,No2
TX,Massage Therapy,514,No
TX,Master of Social Work,391,No2
TX,"Naturopathy, Doctor of",384,Yes
TX,Neuropsychology,397,No2
TX,Non-Indep Licensed MH Provider,244,No
TX,Nurse Practitioner,77,Yes
TX,"Nurse Practitioner, Clinical Specialist in Mental Health (NP)",387,No2
TX,"Nurse, Clinical Specialist in Mental Health",385,No2
TX,"Nurse, Licensed Practical",65,No
TX,"Nurse, Registered",64,No
TX,"Nurse, Registered, First Assistant (RNFA)",386,No
TX,Nutritionist (Registered Dietician),89,Yes
TX,Occupational Therapy,61,No2
TX,Optician,109,No
TX,Optometry,76,No2
TX,Orthodontics,52,No2
TX,Pastoral Counselor,388,No
TX,Pediatric Nurse Practitioner,389,Yes (as Nurse Practitioner)
TX,Pediatric Nutrition,120,Yes (as Registered Dietician)
TX,Pediatric Occupational Therapy,119,No2
TX,Pedodontics,53,No2
TX,Peridontics,54,No2
TX,Pharmacist,212,No
TX,Physical Therapy,73,No2
TX,Physical Therapy - Hand,368,No2
TX,Physical Therapy - Hand Splinting,369,No2
TX,Physical Therapy - Pediatric,367,No2
TX,Physician Assistant,338,Yes
TX,Podiatry,48,Yes
TX,Prosthodontics,55,No2
TX,Psychiatric Nurse Specialist/Practitioner,329,No2
TX,"Psychology, Clinical (Doctorate Level)",70,No2
TX,"Psychology, Clinical (Masters Level)",70,No2
TX,Registered Nurse Anesthetist,395,No1 (Except MO)
TX,Social Worker (Registered Social Worker),390,No2
TX,"Social Worker, Licensed Clinical/Medical",63,No2
TX,"Social Worker, Marriage & Family",392,No2
TX,Speech Pathology,246,No2
TX,Speech Therapy,74,No2
TX,"Substance Abuse Services, Alcohol & Drug",507,No
TX,Surgical Technician,393,No
TX,Unknown Physician/Doctor of Education,99,No
TX,Visiting Nurse,394,No
TX,Certified Asthma Educator,43,No
TX,Assisted Care Living Facility - Center  (HCBS,,No
TX,Assisted Care Living Facility - Home  (HCBS,,No
TX,Critical Access Hospital,,Yes (as General Acute Hospital)
TX,General Acute Care Hospital,,Yes
TX,Hospital Unit - Epilepsy,,Yes (as General Acute Hospital)
TX,Hospital Unit - Psychiatry,,No2
TX,Hospital Unit - Rehabilitation,,Yes (as General Acute Hospital)
TX,Indian Health Service Hospital,,No
TX,In-Patient Hospice,,Yes
TX,Physical Disability / Rehabilitation Facility,,Yes
TX,Long Term Acute Care Facility (LTAC),,Yes
TX,Medicare Defined Swing Bed,,Yes (as General Acute Hospital)
TX,Military Hospital,,No
TX,Military Treatment Facility / TRICARE USE ONLY,,No
TX,Non Medical In-Patient Facility,,No
TX,Osteopathic Hospital,,Yes
TX,Pediatric Hospital,,Yes
TX,Psychiatric Hospital,,No2
TX,Religious Nonmedical Health Care Institution,,No
TX,"Residential Treatment Facility (Facility, Community/MHDD)",,No
TX,Respite Care Facility,,No
TX,Alcohol/Chemical Dependency Treatment Center,,No
TX,School / Custodial /Developmental Center,,No
TX,Skilled Nursing  Facility (Convalescent Facility),,Yes
TX,Veteran's Administration or other Gov'tal Facility,,No
TX,Pest Control Company (HCBS),,No
TX,Adult Day Care/Social Day Care,,No
TX,Adult Day Health Care,,No
TX,Adult Foster Care (HCBS),,No
TX,Alcohol Treatment Center/Clinic,,No
TX,Ambulance - Freestanding,,No
TX,Ambulance - Hospital Based,,No
TX,Ambulatory Surgery Center/ASC,,Yes
TX,Assitive Technology Supplier  (HCBS),,No
TX,Attendant Care Agency/In Home Supportive Care,,No
TX,Audiology/Hearing Center - DIAGNOSTIC,,No
TX,Audiology/Hearing Center - SURGICAL,,No
TX,Autism ABA Agency/Clinic,,No
TX,Birthing Clinic,,Yes (TRICARE Only)
TX,Blood Bank,,No
TX,Cardiac Diagnostic Center,,No
TX,Cardiac Rehab Center/Clinic,,No
TX,Family Planning Clinic,,No
TX,Community Based Hospice,,Yes
TX,Community/Public Health Clinic,,No
TX,Convenience Care Clinic,,No
TX,Diabetes Education Center,,Yes
TX,Diagnostic/Treatment Center - Both Lab & Radiology Services,,No
TX,Diagnostic/Treatment Center - LAB BASED SERVICES ONLY,,No
TX,Diagnostic/Treatment Center - RADIOLOGY ONLY,,No
TX,Dialysis Center,,Yes
TX,Durable Medical Equipment (Medical Supply Company),,No
TX,Durable Medical Equipment Orthotics/Prosthetics,,No
TX,Environmental Adaptation Company (HCBS),,No
TX,Family Planning Clinic,,No
TX,Federally Qualified Health Center (FQHC),,Yes
TX,Freestanding Emergency Dept,,No
TX,Habilitation Agency (HCBS),,No
TX,Hemophiliac Treatment Center- PHARMACY ONLY,,No
TX,Home Delivered Meals Agency (HCBS),,No
TX,Home Health Care Agency/PACE Provider Agency,,Yes
TX,Home Health/Home Infusion (Combined),,Yes
TX,Homemaker Agency (HCBS),,No
TX,Hyperbaric Oxygen Chamber,,No
TX,Infertility Center,,No
TX,Infirmary,,No
TX,Infusion Therapy - Home & Clinic,,No
TX,Laboratory Center (Independent or Commercial),,Yes
TX,Lithotripsy Centers,,No
TX,Magnetic Resonance Imaging Center/Clinic,,No
TX,MHSA Rehabilitation Facility,,No (Yes for AZ Only)
TX,Non -Emergent Transportation,,No
TX,Personal Care,,No
TX,Pediatric Medical Day Care (HCBS),,No
TX,Pharmacy,,No
TX,Portable Diag Img Supplier,,Yes
TX,Radiation Oncology Center,,No
TX,Rehabilitation Clinic,,Yes (CORFs only - Comprehensive Outpatient Rehab Facilty)
TX,Rural Health Clinic (RHC),,Yes
TX,Sleep Study Center,,No
TX,Surgery Suite/Center,,No
TX,Transition Service Agency (HCBS),,No
TX,Urgent Care Center/Clinic,,No (Yes for AZ Only)
TX,Veteran's Administration Medical Clinic (VAMC),,No
TX,Wellness Service Provider,,No
TX,X-Ray/Radiology Center,,No
TX,Abdominal Surgery,270,Yes (as Surgery)
TX,Addiction Medicine,347,No2
TX,Addiction Psychiatry,301,No2
TX,Adolescent Medicine,276,Yes
TX,Allergy,252,Yes (as Allergy and Immunology)
TX,Allergy and Immunology,3,Yes
TX,Anatomic & Clinical Pathology,203,No1 (Except MO)
TX,Anatomic Pathology,202,No1 (Except MO)
TX,Anesthesiology,5,No1 (Except MO)
TX,Back & Spine Surgery,348,Yes (as Neurological Surgery or Orthopaedic Surgery)
TX,Blood Banking/Transfusion Medicine,334,No
TX,Bone Marrow Transplant,366,Yes
TX,Breast Reconstruction,359,Yes (as Plastic Surgery or Reconstructive Surgery)
TX,Breast Surgery,358,Yes (as Plastic Surgery or Surgery)
TX,Cardiac Diagnostic,513,Yes (as Cardiovascular Disease)
TX,Cardiology,12,Yes (as Cardiovascular Disease)
TX,Cardiovascular Disease,6,Yes
TX,Cardiovascular Surgery,500,Yes
TX,Chemical Pathology,207,No1 (Except MO)
TX,Chest and Respiratory Therapy,75,Yes
TX,Child & Adolescent Psychiatry,257,No2
TX,Child Neurology,208,Yes
TX,Child Psychology,268,No2
TX,Clinical Biochemical Genetics,305,Yes
TX,Clinical Biochemical/Molecular Genetics,306,Yes (as Clinical Biochemical or Clinical Molecular Genetics)
TX,Clinical Cardiac Electrophysiology,304,Yes
TX,Clinical Cytogenetics,307,Yes
TX,Clinical Genetics,308,Yes
TX,Clinical Molecular Genetics,370,Yes
TX,Clinical Neurophysiology,310,Yes
TX,Clinical Pathology,210,No1 (Except MO)
TX,Clinical Pharmacology,211,No
TX,Colon and Rectal Surgery,15,Yes
TX,Counselor - MH/SA/School,377,No2
TX,Crisis Diversion,378,No2
TX,Critical Care Medicine,214,Yes
TX,Cytopathology,312,No1 (Except MO)
TX,Dermatology,7,Yes
TX,Dermatopathology,218,Yes
TX,Diabetes,278,"Yes (as Endocrinology, Diabetes and Metabolism)"
TX,Diag Rad with Special Competence in Nuclear Rad,345,Yes (as Diagnostic Radiology)
TX,Diagnostic Lab Immunology,107,Yes (as Clinical and Laboratory Immunology or Immunology)
TX,Diagnostic Radiology,220,No1 (Except MO)
TX,Digestive Diseases,509,Yes (as Gastroenterology)
TX,Early Intervention,122,Yes (as Preventative Medicine)
TX,Emergency Medicine,42,No1 (Except MO)
TX,"Endocrinology, Diabetes and Metabolism",17,Yes
TX,Family Planning,123,"Yes (as FP, GP, IM, OBGYN, NP, or PA)"
TX,Family Practice,8,Yes
TX,Family Practice Specialist,275,Yes (as Family Practice)
TX,Forensic Pathology,223,No1 (Except MO)
TX,Forensic Psychiatry,346,No2
TX,Gastroenterology,10,Yes
TX,General Practice,1,Yes
TX,General Practice Specialist,272,Yes (as General Practice)
TX,General Vascular Surgery,95,Yes
TX,Geriatric Medicine,38,Yes
TX,Geriatric Psychiatry,314,No2
TX,Gynecologic Oncology,221,Yes
TX,Gynecology,251,Yes (as Obstetrics And Gynecology)
TX,Hand Surgery,40,Yes
TX,Head & Neck Surgery,271,Yes (as Plastic Surgery - Head and Neck)
TX,Headache Treatment,356,Yes (as Neurology or Headache Medicine)
TX,Hematology,93,Yes
TX,Hematology/Oncology,504,Yes
TX,Hepatology - Liver Disease,365,Yes (as Hepatology or Transplant Hepatology)
TX,High-Risk Pregnancy,353,Yes (as Obstetrics And Gynecology or Perinatology)
TX,HIV-AIDS,360,Yes (as Internal Medicine or Infectious Disease)
TX,Hospice & Palliative Medicine,19,Yes
TX,Hospitalist,340,No1 (Except MO)
TX,Hyperbaric Medicine/Wound Care,373,Yes (as Undersea and Hyperbaric Medicine)
TX,Immunology,283,Yes (as Allergy and Immunology)
TX,Immunopathology,225,No1 (Except MO)
TX,Independent Medical Examiner,97,No
TX,Infectious Disease Medicine,80,Yes
TX,Infertility Medicine,352,Yes (as Obstetrics and Gynecology or Reproductive Endocrinology/Infertility)
TX,Internal Medicine,11,Yes
TX,Internal Medicine Pediatrics,,Yes (as Internal Medicine and Pediatrics)
TX,Internal Medicine Specialist,273,Yes (as Internal Medicine)
TX,Interventional Cardiology,342,Yes
TX,Interventional Radiology,124,Yes
TX,Knee Surgery,349,Yes (as Orthopaedic Surgery or Surgery)
TX,Laryngology,284,Yes (as Otolaryngology)
TX,Legal Medicine,285,No
TX,Licensed Professional Counselor,381,No2
TX,Marriage & Family Therapy,318,No2
TX,Medical Genetics,309,Yes
TX,Medical Microbiology,227,No
TX,Medical Oncology,59,Yes
TX,Medical Toxicology,333,No
TX,MOHS Surgery,357,Yes
TX,Molecular Genetic Pathology,371,No1 (Except MO)
TX,Movement Disorders,249,Yes (as Neurology or Neuromuscular Disease)
TX,MRI/Magnetic Resonance,511,No1 (Except MO)
TX,Neonatology,87,No1 (Except MO)
TX,Neoplastics Diseases,502,Yes (as Hematology or Oncology)
TX,Nephrology,39,Yes
TX,Neurodevelopmental Disabilities,343,Yes
TX,Neurological Surgery,14,Yes
TX,Neurology,13,Yes
TX,Neurology & Psychiatry,228,No2
TX,Neuromuscular Disease,269,Yes
TX,Neuropathology,229,No1 (Except MO)
TX,Neuroradiology,332,No1 (Except MO)
TX,Nuclear Cardiology,16,Yes
TX,Nuclear Medicine,36,No1 (Except MO)
TX,Nuclear Radiology,286,No1 (Except MO)
TX,Obstetrics,250,Yes (as Obstetrics And Gynecology)
TX,Obstetrics And Gynecology,230,Yes
TX,Occupational Medicine,231,Yes
TX,Ophthalmic Plastic Surgery,364,Yes (as Ophthalmology)
TX,Ophthalmology,18,Yes
TX,Ophthalmology Cornea Surgery,355,Yes
TX,Ophthalmology Retina Surgery,354,Yes
TX,Oral and Maxillofacial Surgery,92,Yes
TX,Oral Pathology,232,Yes
TX,Orofacial Plastic Surgery,233,Yes
TX,Orthopedic Surgery,20,Yes
TX,Osteopathic Manipulative Medicine,330,Yes
TX,Otolaryngology (ENT),4,Yes
TX,Otology,254,Yes (as Otolaryngology)
TX,Pain Management,319,Yes
TX,Pastoral Counselor,388,No
TX,Pathology,22,No1 (Except MO)
TX,Pediatric Allergy Immunology,86,Yes
TX,Pediatric Anesthesiology,116,No1 (Except MO)
TX,Pediatric Behavioral,363,No2
TX,Pediatric Cardiology,85,Yes
TX,Pediatric Cardiothoracic Surgery,505,Yes (as Pediatric Surgery)
TX,Pediatric Child Abuse,258,Yes
TX,Pediatric Critical Care Medicine,234,Yes
TX,Pediatric Dermatology,117,Yes
TX,Pediatric Developmental & Behavioral,255,Yes
TX,Pediatric Emergency Medicine,321,Yes
TX,Pediatric Endocrinology,82,Yes
TX,Pediatric Gastroenterology,259,Yes
TX,Pediatric Genetics,260,Yes
TX,Pediatric Hematology Oncology,88,Yes
TX,Pediatric Infectious Disease Medicine,78,Yes
TX,Pediatric Nephrology,31,Yes
TX,Pediatric Neurology,262,Yes
TX,Pediatric Neurosurgery,81,Yes (as Neurological Surgery)
TX,Pediatric Ophthalmology,263,Yes
TX,Pediatric Orthopedic Surgery,264,Yes
TX,Pediatric Otolaryngology (ENT),265,Yes
TX,Pediatric Pathology,322,No1 (Except MO)
TX,Pediatric Plastic Surgery,266,Yes (as Plastic Surgery)
TX,Pediatric Pulmonary Medicine,96,Yes
TX,Pediatric Radiology,288,No1 (Except MO)
TX,Pediatric Rehabilitation Medicine,341,Yes
TX,Pediatric Rheumatology,261,Yes
TX,Pediatric Specialist,274,Yes (as Pediatrics)
TX,Pediatric Speech Pathologist,115,No2
TX,Pediatric Sports Medicine,323,Yes
TX,Pediatric Surgery,114,Yes
TX,Pediatric Urology,267,Yes
TX,Pediatrics,37,Yes
TX,Perinatology (Maternal & Fetal Medicine),226,Yes
TX,Phlebology,396,Yes
TX,Physical Medicine and Rehabilitation / Physiatry,25,Yes
TX,Physician Nutrition Specialist,103,Yes
TX,Plastic Surgery,24,Yes
TX,Plastic Surgery within the Head & Neck,337,Yes
TX,Preventative Medicine Aerospace,41,Yes
TX,Preventive Medicine,281,Yes
TX,Proctology,28,Yes
TX,Psychiatric Nurse Specialist/Practitioner,329,No2
TX,Psychiatric Social Work,9,No2
TX,Psychiatry,26,No2
TX,"Psychology, Clinical (Doctorate Level)",70,No2
TX,Psychosomatic Medicine,291,No2
TX,Public Health,238,Yes
TX,Public Health & General Preventive Medicine,236,Yes
TX,Pulmonary Medicine,29,Yes
TX,Radiation Oncology,32,Yes
TX,Radioisotopic Pathology,240,No1 (Except MO)
TX,Radioisotopic Radiology,503,Yes (as Nuclear Medicine or Nuclear Radiology)
TX,Radiological Physics,324,Yes (as Radiation Oncology)
TX,Radiology,30,No1 (Except MO)
TX,Rehabilitative Medicine,253,Yes
TX,Reproductive Endocrinology,241,Yes
TX,Rheumatology,90,Yes
TX,Rhinology,292,Yes (as Otolaryngology)
TX,Shoulder Surgery,350,Yes (as Orthopaedic Surgery or Surgery)
TX,Sleep Study Medicine,361,Yes
TX,"Social Worker, Licensed Clinical/Medical",63,No2
TX,Spinal Cord Injury Medicine,344,Yes
TX,Sports Medicine,296,Yes
TX,Surgery,2,Yes
TX,Surgical Critical Care,242,Yes
TX,Surgical Oncologist,508,Yes
TX,Therapeutic Radiology,239,Yes (as Radiation Oncology or Interventional Radiology)
TX,Thoracic Cardiovascular Surgery,33,Yes
TX,Thoracic Surgery,101,Yes
TX,Traumatic Surgery,293,Yes
TX,Undersea and Hyperbaric Medicine,327,Yes
TX,Undersea Medicine,372,Yes
TX,Urgent Care Medicine,328,No1 (Except MO)
